Model,Accuracy,F1 Score,Precision,NORMAL_F1,NORMAL_Precision,PNEUMONIA_F1,PNEUMONIA_Precision,UNKNOWN_F1,UNKNOWN_Precision,TUBERCULOSIS_F1,TUBERCULOSIS_Precision
model_12,93.51669941060904,0.9348976171049903,0.9440120877867345,0.9016881827209533,0.9891067538126361,0.9836829836829837,0.9791183294663574,1.0,1.0,0.9075081610446137,0.8306772908366534
model_13,97.31499672560577,0.9730499430006287,0.973408934110593,0.962756052141527,0.9828897338403042,0.9779837775202781,0.9678899082568807,0.996309963099631,0.9926470588235294,0.9739952718676123,0.9603729603729604
model_14,98.03536345776031,0.9803499460593265,0.9803659575380098,0.9736123748862603,0.9709618874773139,0.9764705882352941,0.9810874704491725,0.996309963099631,0.9926470588235294,0.988009592326139,0.988009592326139
model_15,96.85658153241651,0.9684795375505435,0.9694603009173302,0.9549718574108818,0.9826254826254827,0.9824970828471412,0.9790697674418605,1.0,1.0,0.9616724738675958,0.9324324324324325
model_16,96.13621480026195,0.9613145075642215,0.9622228823411316,0.9455216989843028,0.9570093457943926,0.967741935483871,0.9878048780487805,1.0,1.0,0.9629629629629629,0.930648769574944
model_17,97.969875573019,0.9796877800807131,0.9797178468606396,0.9735159817351599,0.9744058500914077,0.9799764428739693,0.985781990521327,0.996309963099631,0.9926470588235294,0.9821215733015495,0.976303317535545
model_18,98.36280288146693,0.983626990397011,0.9837039330622118,0.9773345421577516,0.9711711711711711,0.9787234042553191,0.9880668257756563,1.0,1.0,0.9916167664670659,0.9904306220095693
model_19,97.77341191879503,0.9776561751557312,0.9782328558988422,0.969187675070028,0.9923518164435946,0.9826187717265353,0.9724770642201835,0.9962825278810409,1.0,0.9776733254994124,0.9585253456221198
model_20,96.39816633922725,0.9641101277931065,0.9656889201647187,0.9513704686118479,0.9228130360205832,0.971764705882353,0.9763593380614657,1.0,1.0,0.9613947696139477,1.0
model_21,98.36280288146693,0.9836427234467109,0.9837526641698605,0.9773345421577516,0.9711711711711711,0.985981308411215,0.9836829836829837,1.0,1.0,0.9842424242424243,0.9950980392156863
model_22,97.70792403405369,0.9770301221176779,0.9773570063057477,0.9693593314763231,0.9867674858223062,0.9836829836829837,0.9791183294663574,0.996309963099631,0.9926470588235294,0.9740566037735849,0.9582366589327146
model_23,95.15389652914212,0.9515334919589403,0.9557827331161263,0.9297401347449471,0.9837067209775967,0.9847238542890717,0.9882075471698113,0.996309963099631,0.9926470588235294,0.9316909294512878,0.8739495798319328
model_24,98.03536345776031,0.9803456542293879,0.9804741499013488,0.9728260869565217,0.9658273381294964,0.9750889679715302,0.9879807692307693,1.0,1.0,0.989247311827957,0.9857142857142858
model_25,97.38048461034708,0.973716235526339,0.9743744737805741,0.9626168224299065,0.9865900383141762,0.9825378346915018,0.9768518518518519,1.0,1.0,0.9707602339181286,0.9474885844748858
model_26,98.10085134250164,0.9809983087341241,0.9813206830927909,0.9741219963031423,0.9868913857677902,0.9781859931113662,0.9594594594594594,1.0,1.0,0.98676293622142,0.9903381642512077
model_27,98.10085134250164,0.980998203324491,0.9810532031973481,0.9735159817351599,0.9744058500914077,0.9811320754716981,0.9881235154394299,1.0,1.0,0.9845422116527943,0.9764150943396226
model_28,98.03536345776031,0.9803614730610802,0.9804166621208923,0.9735642661804923,0.9726775956284153,0.980209545983702,0.9745370370370371,1.0,1.0,0.9830917874396136,0.9902676399026764
