Model,Accuracy,F1 Score,Precision,NORMAL_F1,NORMAL_Precision,PNEUMONIA_F1,PNEUMONIA_Precision,UNKNOWN_F1,UNKNOWN_Precision,TUBERCULOSIS_F1,TUBERCULOSIS_Precision
model_97,97.64243614931237,0.9764609513729509,0.9767390546112769,0.9684968496849685,0.955595026642984,0.9750889679715302,0.9879807692307693,0.996309963099631,0.9926470588235294,0.9819059107358263,0.9878640776699029
model_98,97.18402095612312,0.97182073675707,0.9720117905147668,0.9618874773139746,0.9566787003610109,0.969047619047619,0.9854721549636803,0.996309963099631,0.9926470588235294,0.9797859690844233,0.9716981132075472
model_99,97.57694826457104,0.9757430179831118,0.9757797908023162,0.9679780420860018,0.9706422018348624,0.9802555168408827,0.9723502304147466,0.996309963099631,0.9926470588235294,0.9746682750301568,0.9805825242718447
model_100,96.66011787819254,0.9665240359420726,0.966927284882899,0.9553072625698324,0.9752851711026616,0.9790697674418605,0.9722863741339491,0.996309963099631,0.9926470588235294,0.9587750294464076,0.9421296296296297
model_101,96.92206941715783,0.9692228980412919,0.9701857710655672,0.9589285714285715,0.9388111888111889,0.9801633605600933,0.9767441860465116,0.996309963099631,0.9926470588235294,0.9627791563275434,0.9974293059125964
model_102,97.38048461034708,0.9738236713281118,0.9739227790557065,0.9646418857660924,0.9585585585585585,0.9765807962529274,0.9765807962529274,0.996309963099631,0.9926470588235294,0.9757869249394673,0.9853300733496333
model_103,97.05304518664047,0.9704950312996306,0.9707849657237082,0.9602220166512488,0.9737335834896811,0.9788732394366197,0.9811764705882353,0.996309963099631,0.9926470588235294,0.9670588235294117,0.9491916859122402
model_104,96.85658153241651,0.9685099043915283,0.9688700578673275,0.9565217391304348,0.9699812382739212,0.9752650176678446,0.981042654028436,0.996309963099631,0.9926470588235294,0.9683470105509965,0.9472477064220184
model_105,96.85658153241651,0.968584651119075,0.9686452509888931,0.9582577132486388,0.9530685920577617,0.9788235294117648,0.983451536643026,0.996309963099631,0.9926470588235294,0.9626955475330926,0.966183574879227
model_106,97.90438768827767,0.9790328565998527,0.9790852373912505,0.9716376944190301,0.9743119266055046,0.9802555168408827,0.9723502304147466,0.996309963099631,0.9926470588235294,0.9819059107358263,0.9878640776699029
model_107,97.51146037982973,0.9751615175684559,0.9755833223321005,0.9676840215439856,0.9522968197879859,0.9764705882352941,0.9810874704491725,0.996309963099631,0.9926470588235294,0.9768009768009768,0.9950248756218906
model_108,97.24950884086444,0.9724421757644134,0.9725016639431174,0.9622119815668203,0.9720670391061452,0.9766899766899767,0.9721577726218097,0.996309963099631,0.9926470588235294,0.9738095238095238,0.966903073286052
model_109,97.90438768827767,0.979039497702435,0.9791127611931061,0.971689497716895,0.9725776965265083,0.9802555168408827,0.9723502304147466,0.996309963099631,0.9926470588235294,0.9818621523579202,0.9902439024390244
model_110,97.38048461034708,0.973776963735203,0.9738167118512392,0.9650735294117647,0.9722222222222222,0.9742990654205608,0.972027972027972,1.0,1.0,0.9761904761904762,0.9692671394799054
model_111,97.51146037982973,0.9750944115881511,0.9750926326577599,0.967032967032967,0.9705882352941176,0.9778296382730455,0.9744186046511628,0.996309963099631,0.9926470588235294,0.9760191846522782,0.9760191846522782
model_112,97.31499672560577,0.9731711783847471,0.9732803418724462,0.9647058823529412,0.9569120287253142,0.9716981132075472,0.9786223277909739,0.996309963099631,0.9926470588235294,0.9783132530120482,0.9830508474576272
model_113,97.24950884086444,0.9724995989131135,0.9725222416239917,0.9626253418413856,0.9617486338797814,0.9788235294117648,0.983451536643026,0.996309963099631,0.9926470588235294,0.9712918660287081,0.9689737470167065
model_114,97.31499672560577,0.9731888404554973,0.9734922874723126,0.963963963963964,0.9519572953736655,0.9738095238095238,0.9903147699757869,0.996309963099631,0.9926470588235294,0.9771908763505402,0.9783653846153846
model_115,97.11853307138179,0.9712519249755179,0.971781383030039,0.963294538943599,0.945518453427065,0.9681227863046045,0.9761904761904762,0.996309963099631,0.9926470588235294,0.9768009768009768,0.9950248756218906
model_116,97.57694826457104,0.9757503588375221,0.9758224457495747,0.9697525206232814,0.9742173112338858,0.9776207302709069,0.9834123222748815,0.9926470588235294,0.9854014598540146,0.9762470308788599,0.9670588235294117
model_117,97.70792403405369,0.9770642358657847,0.9771337717592489,0.96875,0.975925925925926,0.974477958236659,0.9655172413793104,1.0,1.0,0.9832134292565947,0.9832134292565947
model_118,97.77341191879503,0.9777256000890676,0.9777215810359488,0.9698630136986301,0.9707495429616088,0.9800703399765534,0.9812206572769953,0.996309963099631,0.9926470588235294,0.9796407185628743,0.9784688995215312
model_119,97.969875573019,0.9796935479447644,0.9796945321026108,0.9726277372262774,0.9726277372262774,0.9812206572769953,0.9835294117647059,0.996309963099631,0.9926470588235294,0.9820359281437125,0.9808612440191388
