Model,Accuracy,F1 Score,Precision,NORMAL_F1,NORMAL_Precision,PNEUMONIA_F1,PNEUMONIA_Precision,UNKNOWN_F1,UNKNOWN_Precision,TUBERCULOSIS_F1,TUBERCULOSIS_Precision
model_30,95.80877537655533,0.957902667153417,0.9585626331370041,0.9437148217636022,0.971042471042471,0.9655172413793104,0.9480812641083521,0.996309963099631,0.9926470588235294,0.9563164108618654,0.9418604651162791
model_31,94.10609037328095,0.9411332300637335,0.9459617910734975,0.9164265129682997,0.9675456389452333,0.9738717339667459,0.9879518072289156,0.9925925925925926,0.9925925925925926,0.9234184239733629,0.859504132231405
model_32,96.98755730189916,0.9698406199369249,0.9698521114678657,0.9587534372135655,0.9631675874769797,0.9744186046511628,0.9676674364896074,0.996309963099631,0.9926470588235294,0.9711538461538461,0.9734939759036144
model_33,94.89194499017681,0.9485759672002879,0.9527061066759076,0.9263565891472868,0.987603305785124,0.9745370370370371,0.9633867276887872,0.996309963099631,0.9926470588235294,0.9357384441939121,0.8829787234042553
model_34,96.79109364767517,0.9679958614970333,0.9685652100237353,0.9570661896243292,0.9385964912280702,0.9727810650887574,0.9832535885167464,0.996309963099631,0.9926470588235294,0.9682926829268292,0.9851116625310173
model_35,97.11853307138179,0.9711276776182125,0.9714591871170446,0.9619312906220984,0.9792060491493384,0.9778296382730455,0.9744186046511628,0.996309963099631,0.9926470588235294,0.9681978798586572,0.9513888888888888
model_36,96.00523903077931,0.9599998637779209,0.9612681204751825,0.9447047797563262,0.9710982658959537,0.9752650176678446,0.981042654028436,0.9925925925925926,0.9925925925925926,0.9539170506912442,0.917960088691796
model_37,96.66011787819254,0.9666586202958649,0.9668234414438386,0.9556561085972851,0.947935368043088,0.9751479289940829,0.9856459330143541,0.9925925925925926,0.9925925925925926,0.9640287769784173,0.9640287769784173
model_38,96.33267845448592,0.9632679895254762,0.9643185388106786,0.9487418452935694,0.9695238095238096,0.9739336492890995,0.9856115107913669,0.996309963099631,0.9926470588235294,0.9607390300230947,0.9265033407572383
model_39,97.77341191879503,0.9777011944298866,0.9777606071334559,0.9705340699815838,0.9795539033457249,0.9836829836829837,0.9791183294663574,0.996309963099631,0.9926470588235294,0.9749702026221693,0.9691943127962085
model_40,95.54682383759004,0.9556687535579784,0.9572565196020668,0.9417989417989417,0.9112627986348123,0.9614457831325302,0.9900744416873449,0.996309963099631,0.9926470588235294,0.9548229548229549,0.972636815920398
model_41,97.05304518664047,0.9705122293915367,0.9705184578728294,0.9597069597069597,0.9632352941176471,0.977725674091442,0.9788732394366197,0.996309963099631,0.9926470588235294,0.9689737470167065,0.9643705463182898
model_42,97.83889980353635,0.9784032234123555,0.978459644254153,0.9709618874773139,0.9657039711191335,0.9835294117647059,0.9881796690307328,0.996309963099631,0.9926470588235294,0.9771359807460891,0.9806763285024155
